type_indicator,ex_name,ex_idx,3>=family_num>=2,family_num=1,family_num>3,all,group_size,ex_len,distribution_batch_house_distribution_len,distribution_batch_house_distribution_step,distribution_batch_tenant_distribution_len,distribution_batch_tenant_distribution_step,environment_max_turns,order_k,order_type,order_waitlist_ratio,policy_type,group_policy_sorting_type,group_policy_type,tenant_max_choose,community_patch_method,group_policy_portion_settings,group_policy_priority
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,7,10.669555555555556,17.937272727272727,6.86875,11.491846405228758,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionmonthly_rent_budget,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,7,3.566666666666667,4.2727272727272725,4.1,3.823529411764706,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionmonthly_rent_budget,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
mean_idle_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,7,2.6,2.363636363636364,2.1,2.450980392156863,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionmonthly_rent_budget,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,7,,,,171.14960793338034,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionmonthly_rent_budget,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
Rop,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,7,,,,242.0,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionmonthly_rent_budget,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,8,11.95622222222222,14.28181818181818,5.10975,11.115375816993463,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionmonthly_rent_budget,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,8,3.1333333333333333,5.090909090909091,4.9,3.901960784313725,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionmonthly_rent_budget,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
mean_idle_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,8,2.1333333333333333,2.272727272727273,1.7,2.07843137254902,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionmonthly_rent_budget,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,8,,,,156.34917165887052,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionmonthly_rent_budget,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
Rop,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,8,,,,251.0,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,priority,portionmonthly_rent_budget,2,portion_rentmoney,"[0.3, 0.4, 0.3]",
mean_house_area,ver1_nofilter_singlelist_5t_6h_p#singlelist,9,9.337166666666668,23.35272727272727,9.6755,12.426470588235292,1,10,6,1,5,1,10,2,kwaitlist,1.2,ver1,base,single_list,2,single_list,,
mean_wait_turn,ver1_nofilter_singlelist_5t_6h_p#singlelist,9,4.733333333333333,4.818181818181818,4.3,4.666666666666667,1,10,6,1,5,1,10,2,kwaitlist,1.2,ver1,base,single_list,2,single_list,,
mean_idle_wait_turn,ver1_nofilter_singlelist_5t_6h_p#singlelist,9,3.633333333333333,3.1818181818181817,3.7,3.549019607843137,1,10,6,1,5,1,10,2,kwaitlist,1.2,ver1,base,single_list,2,single_list,,
var_mean_house_area,ver1_nofilter_singlelist_5t_6h_p#singlelist,9,,,,202.48874092015888,1,10,6,1,5,1,10,2,kwaitlist,1.2,ver1,base,single_list,2,single_list,,
Rop,ver1_nofilter_singlelist_5t_6h_p#singlelist,9,,,,284.0,1,10,6,1,5,1,10,2,kwaitlist,1.2,ver1,base,single_list,2,single_list,,
mean_house_area,ver1_nofilter_singlelist_5t_6h_p#singlelist,10,11.179277777777775,25.90545454545455,4.0735,12.962222222222222,1,10,6,1,5,1,10,2,kwaitlist,1.2,ver1,base,single_list,2,single_list,,
mean_wait_turn,ver1_nofilter_singlelist_5t_6h_p#singlelist,10,4.466666666666667,3.909090909090909,6.2,4.686274509803922,1,10,6,1,5,1,10,2,kwaitlist,1.2,ver1,base,single_list,2,single_list,,
mean_idle_wait_turn,ver1_nofilter_singlelist_5t_6h_p#singlelist,10,3.7,3.272727272727273,3.9,3.647058823529412,1,10,6,1,5,1,10,2,kwaitlist,1.2,ver1,base,single_list,2,single_list,,
var_mean_house_area,ver1_nofilter_singlelist_5t_6h_p#singlelist,10,,,,217.0604936456064,1,10,6,1,5,1,10,2,kwaitlist,1.2,ver1,base,single_list,2,single_list,,
Rop,ver1_nofilter_singlelist_5t_6h_p#singlelist,10,,,,360.0,1,10,6,1,5,1,10,2,kwaitlist,1.2,ver1,base,single_list,2,single_list,,
mean_house_area,optimized_task_config_24,11,10.255999999999998,41.31,2.971,15.525490196078431,3,7,6,1,8,1,10,2,kwaitlist,1.8,ver1,base,multi_list,2,house_type,,False
mean_wait_turn,optimized_task_config_24,11,3.566666666666667,1.0909090909090908,5.8,3.4705882352941178,3,7,6,1,8,1,10,2,kwaitlist,1.8,ver1,base,multi_list,2,house_type,,False
mean_idle_wait_turn,optimized_task_config_24,11,3.1333333333333333,1.0,4.6,2.9607843137254903,3,7,6,1,8,1,10,2,kwaitlist,1.8,ver1,base,multi_list,2,house_type,,False
