Ex.setting,$\Delta$Avg $House^{size}\uparrow$,$\Delta$Var $House^{size}\downarrow$,$\Delta$Rop $\downarrow$,$\Delta$Avg WT $\downarrow$,$\Delta$gini coefficient $\downarrow$,$\Delta$SW $\uparrow$,"$\Delta F(W,G) \uparrow$",ex_name_prority,ex_name_nopriority,finished_replace
(a),1.1749$\pm$0.4156,15.6475$\pm$8.0351,46.0000$\pm$13.0000,-0.1275$\pm$0.0098,-0.0324$\pm$0.0087,30.1000$\pm$12.5000,2.7239$\pm$0.0934,ver1_nofilter_multilist(1.2)_multilist_housing_points_8t_6h_p#housetype,ver1_nofilter_multilist(1.2)_multilist_nopriority_8t_6h_p#housetype,True
(b),-1.5304$\pm$1.4631,4.6558$\pm$20.0100,52.5000$\pm$47.1832,0.2701$\pm$0.2503,0.0599$\pm$0.0462,1.6000$\pm$9.5520,0.2919$\pm$4.8251,ver2_nofilter_multilist(1.2_k2)_housetype_housing_points_8t_6h(step_num(t1_h1))_p#housetype_choose2,ver2_nofilter_multilist(1.2_k2)_housetype_nopriority_8t_6h(step_num(t1_h1))_p#housetype_choose2,True
(c),,,,,,,,ver1_nofilter_multilist(1.2)_portion3(f_earn_money)_housing_points_8t_6h_p#portion_housesize,ver1_nofilter_multilist(1.2)_portion3(f_earn_money)_nopriority_8t_6h_p#portion_housesize,False
(d),,,,,,,,ver1_nofilter_multilist(1.2)_multilist_housing_points_8t_6h_p#portion_rentmoney,ver1_nofilter_multilist(1.2)_multilist_nopriority_8t_6h_p#portion_rentmoney,False
