type_indicator,3>=family_num>=2,family_num=1,all
mean_house_area,20.854166666666664,41.04833333333333,35.99979166666667
mean_wait_turn,3.0,1.5,1.875
var_mean_house_area,,,104.14856280381946
Rop,,,0.0
