,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
69,14.7,3>=family_num>=2,False,house_83,1.0,3.0,48.35,16.116666666666667
0,17.0,3>=family_num>=2,False,house_74,1.0,2.0,42.82,21.41
1,18.0,family_num=1,False,house_25,1.0,1.0,42.2,42.2
66,12.5,family_num>3,False,house_51,1.0,4.0,46.1,11.525
65,11.6,family_num=1,False,house_65,2.0,1.0,49.07,49.07
67,13.4,3>=family_num>=2,True,house_39,2.0,2.0,57.5,28.75
62,16.2,family_num>3,False,house_4,2.0,4.0,61.7,15.425
63,17.5,3>=family_num>=2,False,house_30,2.0,2.0,44.6,22.3
59,8.8,3>=family_num>=2,False,house_57,1.0,2.0,60.1,30.05
23,13.4,3>=family_num>=2,False,house_19,1.0,2.0,27.76,13.88
57,6.8,family_num>3,False,house_54,2.0,4.0,58.54,14.635
56,15.5,family_num=1,False,house_98,2.0,1.0,44.5,44.5
53,14.4,family_num>3,False,house_37,1.0,4.0,58.0,14.5
68,16.1,family_num=1,False,house_99,4.0,1.0,44.51,44.51
51,13.9,3>=family_num>=2,True,house_13,1.0,3.0,38.25,12.75
55,12.7,3>=family_num>=2,False,house_85,3.0,3.0,48.7,16.233333333333334
38,13.5,family_num>3,True,house_3,1.0,4.0,61.5,15.375
50,17.0,3>=family_num>=2,False,house_29,2.0,2.0,44.5,22.25
39,18.0,family_num=1,True,house_64,2.0,1.0,48.75,48.75
49,17.5,family_num=1,False,house_94,2.0,1.0,44.4,44.4
33,15.1,3>=family_num>=2,False,house_44,2.0,2.0,46.14,23.07
27,15.4,family_num>3,True,house_71,1.0,4.0,42.82,10.705
36,13.3,3>=family_num>=2,True,house_46,1.0,2.0,44.75,22.375
30,15.5,3>=family_num>=2,False,house_52,1.0,2.0,44.3,22.15
26,16.5,family_num=1,True,house_17,2.0,1.0,38.6,38.6
47,13.7,family_num>3,False,house_77,2.0,4.0,60.0,15.0
28,13.8,3>=family_num>=2,False,house_10,2.0,2.0,38.05,19.025
37,15.7,family_num>3,False,house_78,3.0,4.0,60.3,15.075
