Ex.setting,$\Delta$Avg $House^{size}\uparrow$,$\Delta$Var $House^{size}\downarrow$,$\Delta$Rop $\downarrow$,$\Delta$mean WT $\downarrow$,$\Delta$gini coefficient $\downarrow$,$\Delta$social welfare $\uparrow$,"$\Delta F(W,G) \uparrow$",ex_name_prority,ex_name_nopriority,finished_replace
(a),-0.22477124183006403,-7.682113776752573,-9.0,-0.019607843137254832,-0.00267003411023925,-10.900000000000091,2.567073170731705,ver1_nofilter_multilist(1.2)_multilist_housing_points_8t_6h_p#housetype,ver1_nofilter_multilist(1.2)_multilist_nopriority_8t_6h_p#housetype,True
(b),-0.26196078431372527,-35.049911700628,-1.0,0.15686274509803955,0.004444536100597807,15.600000000000023,1.2739024390243916,ver2_nofilter_multilist(1.2_k2)_housetype_housing_points_8t_6h(step_num(t1_h1))_p#housetype_choose2,ver2_nofilter_multilist(1.2_k2)_housetype_nopriority_8t_6h(step_num(t1_h1))_p#housetype_choose2,True
(c),0.1215032679738588,-7.851958913238491,18.0,0.07843137254901977,-0.017294284691580786,26.80000000000001,-0.36756097560975487,ver1_nofilter_multilist(1.2)_portion3(f_earn_money)_housing_points_8t_6h_p#portion_housesize,ver1_nofilter_multilist(1.2)_portion3(f_earn_money)_nopriority_8t_6h_p#portion_housesize,True
(d),-1.1218627450980385,-6.770497994361165,-11.0,0.3137254901960773,0.05050162261420821,-38.70000000000002,-3.546585365853657,ver1_nofilter_multilist(1.2)_multilist_housing_points_8t_6h_p#portion_rentmoney,ver1_nofilter_multilist(1.2)_multilist_nopriority_8t_6h_p#portion_rentmoney,True
