,ex_name,multi_ex,ex_idx,3>=family_num>=2,family_num=1,family_num>3,all,group_size,ex_len,distribution_batch_house_distribution_len,distribution_batch_house_distribution_step,distribution_batch_tenant_distribution_len,distribution_batch_tenant_distribution_step,environment_max_turns,order_k,order_type,order_waitlist_ratio,policy_type,group_policy_portion_settings,group_policy_sorting_type,group_policy_type,tenant_max_choose,community_patch_method
mean_idle_wait_turn,ver2_nofilter_multilist(1.2_k2)_housetype_nopriority_8t_6h(step_num(t1_h1))_p#housetype_choose2,False,24.0,1.9666666666666663,1.9090909090909087,3.2,2.196078431372549,3.0,8.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver2,,base,house_type,2.0,house_type
var_mean_house_area,ver2_nofilter_multilist(1.2_k2)_housetype_nopriority_8t_6h(step_num(t1_h1))_p#housetype_choose2,False,24.0,,,,230.26852856807213,3.0,8.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver2,,base,house_type,2.0,house_type
Rop,ver2_nofilter_multilist(1.2_k2)_housetype_nopriority_8t_6h(step_num(t1_h1))_p#housetype_choose2,False,24.0,,,,350.0,3.0,8.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver2,,base,house_type,2.0,house_type
mean_house_area,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose2,False,25.0,11.88827380952381,30.848181818181818,5.365,14.813299319727893,3.0,7.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver2,,priority,house_type,2.0,house_type
mean_wait_turn,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose2,False,25.0,2.25,2.0,3.0,2.346938775510204,3.0,7.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver2,,priority,house_type,2.0,house_type
mean_idle_wait_turn,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose2,False,25.0,1.5714285714285714,1.181818181818182,2.3,1.6326530612244898,3.0,7.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver2,,priority,house_type,2.0,house_type
var_mean_house_area,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose2,False,25.0,,,,237.9123813197048,3.0,7.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver2,,priority,house_type,2.0,house_type
Rop,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose2,False,25.0,,,,331.0,3.0,7.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver2,,priority,house_type,2.0,house_type
mean_house_area,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#portion_housesize,False,8.0,5.633333333333334,14.29818181818182,5.231,7.423333333333334,3.0,9.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver2,,priority,house_type,2.0,portion_housesize
mean_wait_turn,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#portion_housesize,False,8.0,4.833333333333333,4.727272727272728,4.2,4.686274509803922,3.0,9.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver2,,priority,house_type,2.0,portion_housesize
mean_idle_wait_turn,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#portion_housesize,False,8.0,2.533333333333333,4.727272727272728,1.1,2.7254901960784315,3.0,9.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver2,,priority,house_type,2.0,portion_housesize
var_mean_house_area,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#portion_housesize,False,8.0,,,,155.45374564270156,3.0,9.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver2,,priority,house_type,2.0,portion_housesize
Rop,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#portion_housesize,False,8.0,,,,208.0,3.0,9.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver2,,priority,house_type,2.0,portion_housesize
mean_house_area,ver2_nofilter_multilist(1.5_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,False,17.0,11.99077380952381,25.270909090909093,7.305,14.01574829931973,3.0,7.0,6.0,1.0,8.0,1.0,10.0,1.0,kwaitlist,1.5,ver2,,priority,house_type,3.0,house_type
mean_wait_turn,ver2_nofilter_multilist(1.5_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,False,17.0,1.8928571428571428,2.1818181818181817,2.4,2.061224489795918,3.0,7.0,6.0,1.0,8.0,1.0,10.0,1.0,kwaitlist,1.5,ver2,,priority,house_type,3.0,house_type
mean_idle_wait_turn,ver2_nofilter_multilist(1.5_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,False,17.0,1.6428571428571428,1.0,2.1,1.5918367346938775,3.0,7.0,6.0,1.0,8.0,1.0,10.0,1.0,kwaitlist,1.5,ver2,,priority,house_type,3.0,house_type
var_mean_house_area,ver2_nofilter_multilist(1.5_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,False,17.0,,,,203.02242880512748,3.0,7.0,6.0,1.0,8.0,1.0,10.0,1.0,kwaitlist,1.5,ver2,,priority,house_type,3.0,house_type
Rop,ver2_nofilter_multilist(1.5_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,False,17.0,,,,274.0,3.0,7.0,6.0,1.0,8.0,1.0,10.0,1.0,kwaitlist,1.5,ver2,,priority,house_type,3.0,house_type
mean_house_area,ver2_nofilter_multilist(1.5_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,False,7.0,15.39550724637681,32.135000000000005,6.30138888888889,17.432361111111113,3.0,6.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.5,ver2,,priority,house_type,3.0,house_type
mean_wait_turn,ver2_nofilter_multilist(1.5_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,False,7.0,2.0869565217391304,1.6,2.4444444444444446,2.0476190476190474,3.0,6.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.5,ver2,,priority,house_type,3.0,house_type
mean_idle_wait_turn,ver2_nofilter_multilist(1.5_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,False,7.0,1.5217391304347827,1.0,1.8888888888888888,1.4761904761904765,3.0,6.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.5,ver2,,priority,house_type,3.0,house_type
var_mean_house_area,ver2_nofilter_multilist(1.5_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,False,7.0,,,,220.46951381999563,3.0,6.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.5,ver2,,priority,house_type,3.0,house_type
Rop,ver2_nofilter_multilist(1.5_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,False,7.0,,,,249.0,3.0,6.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.5,ver2,,priority,house_type,3.0,house_type
mean_house_area,ver2_nofilter_multilist(1.8_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,False,14.0,12.520892857142856,25.88909090909091,5.6,14.109489795918368,3.0,7.0,6.0,1.0,8.0,1.0,10.0,1.0,kwaitlist,1.8,ver2,,priority,house_type,3.0,house_type
mean_wait_turn,ver2_nofilter_multilist(1.8_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,False,14.0,2.071428571428572,2.272727272727273,2.7,2.2448979591836733,3.0,7.0,6.0,1.0,8.0,1.0,10.0,1.0,kwaitlist,1.8,ver2,,priority,house_type,3.0,house_type
mean_idle_wait_turn,ver2_nofilter_multilist(1.8_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,False,14.0,1.3214285714285714,1.181818181818182,2.3,1.489795918367347,3.0,7.0,6.0,1.0,8.0,1.0,10.0,1.0,kwaitlist,1.8,ver2,,priority,house_type,3.0,house_type
var_mean_house_area,ver2_nofilter_multilist(1.8_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,False,14.0,,,,213.0562284811884,3.0,7.0,6.0,1.0,8.0,1.0,10.0,1.0,kwaitlist,1.8,ver2,,priority,house_type,3.0,house_type
Rop,ver2_nofilter_multilist(1.8_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,False,14.0,,,,306.0,3.0,7.0,6.0,1.0,8.0,1.0,10.0,1.0,kwaitlist,1.8,ver2,,priority,house_type,3.0,house_type
