,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
68,15.2,family_num=1,True,house_25,1.0,1.0,42.2,42.2
66,14.2,family_num>3,True,house_83,1.0,4.0,48.35,12.0875
69,14.2,3>=family_num>=2,False,house_51,1.0,3.0,46.1,15.366666666666667
1,13.8,family_num=1,False,house_74,2.0,1.0,42.82,42.82
0,16.4,3>=family_num>=2,False,house_65,2.0,2.0,49.07,24.535
64,12.9,3>=family_num>=2,False,house_39,1.0,3.0,57.5,19.166666666666668
62,16.2,family_num>3,False,house_4,1.0,4.0,61.7,15.425
60,17.5,3>=family_num>=2,False,house_30,1.0,2.0,44.6,22.3
55,14.9,3>=family_num>=2,False,house_57,1.0,3.0,60.1,20.033333333333335
54,18.0,3>=family_num>=2,False,house_37,1.0,2.0,58.0,29.0
23,16.6,3>=family_num>=2,False,house_10,1.0,2.0,38.05,19.025
63,16.0,3>=family_num>=2,False,house_85,2.0,2.0,48.7,24.35
56,15.0,family_num=1,False,house_98,1.0,1.0,44.5,44.5
61,17.6,3>=family_num>=2,False,house_64,2.0,3.0,48.75,16.25
53,12.6,family_num>3,False,house_54,1.0,4.0,58.54,14.635
33,15.0,3>=family_num>=2,True,house_99,1.0,2.0,44.51,22.255
57,9.4,family_num>3,True,house_44,2.0,4.0,46.14,11.535
52,14.2,3>=family_num>=2,False,house_19,1.0,2.0,27.76,13.88
59,14.1,3>=family_num>=2,False,house_52,2.0,2.0,44.3,22.15
39,15.0,family_num=1,False,house_13,1.0,1.0,38.25,38.25
24,12.9,3>=family_num>=2,False,house_46,3.0,3.0,44.75,14.916666666666666
50,17.0,3>=family_num>=2,False,house_29,2.0,2.0,44.5,22.25
28,13.2,3>=family_num>=2,True,house_94,1.0,2.0,44.4,22.2
26,16.0,family_num=1,True,house_17,2.0,1.0,38.6,38.6
38,16.2,family_num>3,False,house_77,2.0,4.0,60.0,15.0
37,15.2,family_num>3,False,house_78,2.0,4.0,60.3,15.075
32,13.5,family_num=1,True,house_71,1.0,1.0,42.82,42.82
9,17.5,3>=family_num>=2,False,house_3,1.0,3.0,61.5,20.5
