type_indicator,ex_name,ex_idx,3>=family_num>=2,family_num=1,family_num>3,all,group_size,ex_len,distribution_batch_house_distribution_len,distribution_batch_house_distribution_step,distribution_batch_tenant_distribution_len,distribution_batch_tenant_distribution_step,environment_max_turns,order_k,order_type,order_waitlist_ratio,policy_type,group_policy_sorting_type,group_policy_type,tenant_max_choose,community_patch_method
mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,5,13.956799999999998,28.152727272727272,6.93375,16.671488095238097,3,6,20,1,10,1,30,3,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,5,2.0,1.6363636363636365,1.8333333333333333,1.880952380952381,3,6,20,1,10,1,30,3,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,5,1.4,1.4545454545454546,1.8333333333333333,1.4761904761904765,3,6,20,1,10,1,30,3,kwaitlist,1.8,ver2,base,house_type,5,house_type
var_mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,5,,,,236.76966804020225,3,6,20,1,10,1,30,3,kwaitlist,1.8,ver2,base,house_type,5,house_type
Rop,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,5,,,,186.0,3,6,20,1,10,1,30,3,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,6,13.450666666666669,27.82454545454545,12.541666666666666,17.085396825396824,3,10,20,1,10,1,30,3,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,6,1.8,1.9090909090909087,2.1666666666666665,1.880952380952381,3,10,20,1,10,1,30,3,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,6,1.44,1.5454545454545454,1.6666666666666667,1.5,3,10,20,1,10,1,30,3,kwaitlist,1.8,ver2,base,house_type,5,house_type
var_mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,6,,,,222.5342620118418,3,10,20,1,10,1,30,3,kwaitlist,1.8,ver2,base,house_type,5,house_type
Rop,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,6,,,,172.0,3,10,20,1,10,1,30,3,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_house_area,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,7,14.0288,27.671818181818185,10.98625,17.167321428571427,3,6,20,1,10,1,30,4,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_wait_turn,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,7,2.08,1.818181818181818,1.6666666666666667,1.9523809523809523,3,6,20,1,10,1,30,4,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,7,1.56,1.4545454545454546,1.6666666666666667,1.5476190476190477,3,6,20,1,10,1,30,4,kwaitlist,1.8,ver2,base,house_type,5,house_type
var_mean_house_area,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,7,,,,220.8760353682445,3,6,20,1,10,1,30,4,kwaitlist,1.8,ver2,base,house_type,5,house_type
Rop,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,7,,,,170.0,3,6,20,1,10,1,30,4,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_house_area,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,8,13.9418,23.80545454545455,11.297916666666666,16.147440476190475,3,7,20,1,10,1,30,4,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_wait_turn,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,8,1.92,1.9090909090909087,1.3333333333333333,1.8333333333333333,3,7,20,1,10,1,30,4,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,8,1.52,1.6363636363636365,1.3333333333333333,1.5238095238095235,3,7,20,1,10,1,30,4,kwaitlist,1.8,ver2,base,house_type,5,house_type
var_mean_house_area,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,8,,,,209.6216360579649,3,7,20,1,10,1,30,4,kwaitlist,1.8,ver2,base,house_type,5,house_type
Rop,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,8,,,,156.0,3,7,20,1,10,1,30,4,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_house_area,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,9,14.247799999999998,28.05454545454546,11.699166666666668,17.499761904761904,3,6,20,1,10,1,30,4,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_wait_turn,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,9,2.0,1.7272727272727273,1.5,1.8571428571428568,3,6,20,1,10,1,30,4,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,9,1.6,1.4545454545454546,1.5,1.5476190476190477,3,6,20,1,10,1,30,4,kwaitlist,1.8,ver2,base,house_type,5,house_type
var_mean_house_area,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,9,,,,223.11058195389265,3,6,20,1,10,1,30,4,kwaitlist,1.8,ver2,base,house_type,5,house_type
Rop,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,9,,,,154.0,3,6,20,1,10,1,30,4,kwaitlist,1.8,ver2,base,house_type,5,house_type
