type_indicator,3>=family_num>=2,family_num=1,all
mean_house_area,20.033333333333335,41.44,38.381904761904764
mean_wait_turn,3.0,1.1666666666666667,1.4285714285714286
var_mean_house_area,,,61.17142176870748
Rop,,,0.0
