,choose_u,group_id,priority,choose_house_id,wait_turn,family_members_num,house_size,avg_area
69,14.2,3>=family_num>=2,False,house_51,1.0,3.0,46.1,15.366666666666667
66,14.2,family_num>3,True,house_83,1.0,4.0,48.35,12.0875
0,16.4,3>=family_num>=2,False,house_65,2.0,2.0,49.07,24.535
68,16.0,family_num=1,True,house_30,2.0,1.0,44.6,44.6
2,15.4,3>=family_num>=2,False,house_4,2.0,3.0,61.7,20.566666666666666
67,15.2,3>=family_num>=2,False,house_19,1.0,2.0,27.76,13.88
60,17.0,3>=family_num>=2,False,house_25,1.0,2.0,42.2,21.1
64,13.9,3>=family_num>=2,False,house_37,2.0,3.0,58.0,19.333333333333332
65,15.0,family_num=1,False,house_98,3.0,1.0,44.5,44.5
57,13.8,family_num>3,True,house_85,1.0,4.0,48.7,12.175
63,15.0,3>=family_num>=2,False,house_99,3.0,2.0,44.51,22.255
61,14.0,3>=family_num>=2,False,house_54,3.0,3.0,58.54,19.513333333333332
33,15.0,3>=family_num>=2,True,house_94,2.0,2.0,44.4,22.2
26,15.0,family_num=1,True,house_10,1.0,1.0,38.05,38.05
62,11.4,family_num>3,False,house_77,5.0,4.0,60.0,15.0
58,16.0,family_num=1,False,house_71,5.0,1.0,42.82,42.82
52,16.0,3>=family_num>=2,False,house_74,3.0,2.0,42.82,21.41
40,16.8,3>=family_num>=2,True,house_29,1.0,2.0,44.5,22.25
13,15.8,family_num=1,True,house_13,1.0,1.0,38.25,38.25
32,16.0,family_num=1,True,house_17,3.0,1.0,38.6,38.6
