type_indicator,ex_name,ex_idx,3>=family_num>=2,family_num=1,family_num>3,all,group_size,ex_len,distribution_batch_house_distribution_len,distribution_batch_house_distribution_step,distribution_batch_tenant_distribution_len,distribution_batch_tenant_distribution_step,environment_max_turns,order_k,order_type,order_waitlist_ratio,policy_type,group_policy_sorting_type,group_policy_type,tenant_max_choose,community_patch_method
mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,5,20.52470588235294,44.24,13.8675,25.93342592592593,3,6,20,1,10,1,30,3,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,5,1.8235294117647056,1.4285714285714286,2.0,1.7407407407407407,3,6,20,1,10,1,30,3,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,5,1.4705882352941178,1.2857142857142858,2.0,1.4814814814814814,3,6,20,1,10,1,30,3,kwaitlist,1.8,ver2,base,house_type,5,house_type
var_mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,5,,,,128.11459384430728,3,6,20,1,10,1,30,3,kwaitlist,1.8,ver2,base,house_type,5,house_type
Rop,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,5,,,,35.0,3,6,20,1,10,1,30,3,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,6,21.016666666666666,43.72428571428571,12.541666666666666,24.74436781609196,3,10,20,1,10,1,30,3,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,6,1.6875,2.0,2.1666666666666665,1.862068965517241,3,10,20,1,10,1,30,3,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,6,1.5625,1.5714285714285714,1.6666666666666667,1.5862068965517242,3,10,20,1,10,1,30,3,kwaitlist,1.8,ver2,base,house_type,5,house_type
var_mean_house_area,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,6,,,,132.77460486854275,3,10,20,1,10,1,30,3,kwaitlist,1.8,ver2,base,house_type,5,house_type
Rop,ver2_nofilter_multilist(2.1_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,6,,,,79.0,3,10,20,1,10,1,30,3,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_house_area,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,7,20.63058823529412,43.48428571428571,13.1835,24.86301724137931,3,6,20,1,10,1,30,4,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_wait_turn,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,7,2.0588235294117645,1.8571428571428568,1.8,1.9655172413793105,3,6,20,1,10,1,30,4,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,7,1.5294117647058822,1.4285714285714286,1.8,1.5517241379310345,3,6,20,1,10,1,30,4,kwaitlist,1.8,ver2,base,house_type,5,house_type
var_mean_house_area,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,7,,,,128.55121285506672,3,6,20,1,10,1,30,4,kwaitlist,1.8,ver2,base,house_type,5,house_type
Rop,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,7,,,,65.0,3,6,20,1,10,1,30,4,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_house_area,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,8,20.50264705882353,43.64333333333334,13.5575,24.22116071428572,3,7,20,1,10,1,30,4,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_wait_turn,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,8,2.0588235294117645,1.8333333333333333,1.4,1.8928571428571428,3,7,20,1,10,1,30,4,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,8,1.5294117647058822,1.5,1.4,1.5,3,7,20,1,10,1,30,4,kwaitlist,1.8,ver2,base,house_type,5,house_type
var_mean_house_area,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,8,,,,118.87757863786142,3,7,20,1,10,1,30,4,kwaitlist,1.8,ver2,base,house_type,5,house_type
Rop,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,8,,,,60.0,3,7,20,1,10,1,30,4,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_house_area,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,9,20.952647058823526,44.08571428571429,14.039,25.34448275862069,3,6,20,1,10,1,30,4,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_wait_turn,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,9,2.235294117647059,1.5714285714285714,1.6,1.9655172413793105,3,6,20,1,10,1,30,4,kwaitlist,1.8,ver2,base,house_type,5,house_type
mean_idle_wait_turn,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,9,1.7058823529411764,1.4285714285714286,1.6,1.6206896551724137,3,6,20,1,10,1,30,4,kwaitlist,1.8,ver2,base,house_type,5,house_type
var_mean_house_area,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,9,,,,124.30527798916634,3,6,20,1,10,1,30,4,kwaitlist,1.8,ver2,base,house_type,5,house_type
Rop,ver2_nofilter_multilist(2.1_k4)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose5,9,,,,36.0,3,6,20,1,10,1,30,4,kwaitlist,1.8,ver2,base,house_type,5,house_type
