,tenant_ids,score_gap_var
0,69,1.677295918367347
1,0,0.9323979591836735
2,1,1.6683673469387752
3,2,1.3099489795918369
4,68,1.5242346938775508
5,66,0.9438775510204079
6,65,1.9183673469387756
7,67,1.034438775510204
8,64,1.3010204081632648
9,63,0.6785714285714286
10,61,1.2040816326530615
11,62,1.3813775510204083
12,60,1.4630102040816328
13,58,2.7181122448979593
14,59,1.2397959183673468
15,23,0.8928571428571429
16,24,0.9897959183673469
17,57,0.3520408163265306
18,56,1.6058673469387759
19,55,1.1785714285714286
20,54,0.667091836734694
21,52,1.3367346938775513
22,39,0.6160714285714286
23,33,1.2857142857142858
24,53,0.7181122448979592
25,51,1.4323979591836733
26,50,0.7385204081632654
27,49,2.122448979591837
28,28,1.932397959183673
29,27,1.0663265306122447
30,26,2.2857142857142856
31,36,1.8915816326530615
32,38,0.42857142857142855
33,37,0.6377551020408162
34,47,1.1683673469387756
35,32,1.7091836734693877
36,30,0.8813775510204084
37,35,1.0153061224489794
38,48,0.5612244897959183
39,46,1.4528061224489792
40,45,1.7895408163265303
41,43,0.4017857142857143
42,40,1.0969387755102042
43,44,2.0153061224489797
44,41,0.836734693877551
45,25,0.7487244897959184
46,42,0.8915816326530611
47,12,1.524234693877551
48,13,1.6058673469387759
49,9,2.075255102040816
50,8,1.3877551020408163
