type_indicator,3>=family_num>=2,family_num=1,family_num>3,all
mean_house_area,19.92703703703704,39.275,12.774375,21.803237179487176
mean_wait_turn,1.8888888888888888,1.25,2.0,1.8076923076923077
var_mean_house_area,,,,73.65493741062623
Rop,,,,41.0
